elapsed_s,beacon_letter,rssi,accuracy_m,proximity,pos_x,pos_y,nearest_letter,distance_to_nearest,confidence,motion_state,accel_magnitude,filtered_pos_x,filtered_pos_y
36.31,C,-72,12.28,Far,17.25,25.07,B,5.64,weak,trotting,0.1142,17.25,25.07
37.31,A,-85,27.76,Far,17.52,22.59,P,5.21,weak,trotting,0.3449,17.52,22.59
37.31,B,-87,30.28,Far,17.52,22.59,P,5.21,weak,trotting,0.3449,17.52,22.59
37.31,C,-73,11.09,Far,17.52,22.59,P,5.21,weak,trotting,0.3449,17.52,22.59
38.31,A,-86,28.04,Far,17.80,20.11,P,3.05,weak,trotting,0.1600,17.80,20.11
38.31,B,-85,30.08,Far,17.80,20.11,P,3.05,weak,trotting,0.1600,17.80,20.11
38.31,C,-76,10.79,Far,17.80,20.11,P,3.05,weak,trotting,0.1600,17.80,20.11
39.31,A,-86,28.30,Far,18.07,17.63,P,1.97,weak,trotting,0.4482,18.07,17.63
39.31,B,-87,30.46,Far,18.07,17.63,P,1.97,weak,trotting,0.4482,18.07,17.63
39.31,C,-77,10.70,Far,18.07,17.63,P,1.97,weak,trotting,0.4482,18.07,17.63
40.31,A,0,-1.00,Unknown,17.08,19.93,P,3.50,weak,trotting,0.6520,17.08,19.93
40.31,B,-89,31.28,Far,17.08,19.93,P,3.50,weak,trotting,0.6520,17.08,19.93
40.31,C,-71,9.34,Far,17.08,19.93,P,3.50,weak,trotting,0.6520,17.08,19.93
41.31,A,-90,31.18,Far,15.46,18.04,P,4.54,weak,trotting,0.5738,15.46,18.04
41.31,B,-87,31.59,Far,15.46,18.04,P,4.54,weak,trotting,0.5738,15.46,18.04
41.31,C,-73,8.78,Far,15.46,18.04,P,4.54,weak,trotting,0.5738,15.46,18.04
42.31,A,-87,31.51,Far,16.07,15.62,P,4.60,weak,trotting,0.3826,16.07,15.62
42.31,B,-90,32.57,Far,16.07,15.62,P,4.60,weak,trotting,0.3826,16.07,15.62
42.31,C,-74,8.49,Far,16.07,15.62,P,4.60,weak,trotting,0.3826,16.07,15.62
43.31,A,-89,32.31,Far,16.68,13.19,P,5.84,weak,trotting,0.5515,16.68,13.19
43.31,B,-88,33.07,Far,16.68,13.19,P,5.84,weak,trotting,0.5515,16.68,13.19
43.31,C,-65,6.24,Far,16.68,13.19,P,5.84,weak,trotting,0.5515,16.68,13.19
44.31,A,-86,32.26,Far,17.29,10.77,F,5.49,weak,trotting,0.3163,17.29,10.77
